iter	Logloss
0	0.6873074214
1	0.6796573003
2	0.6736771266
3	0.6674650828
4	0.6596965154
5	0.6534438451
6	0.6476795197
7	0.6408625285
8	0.6350686391
9	0.6288929621
10	0.6229920705
11	0.6180095673
12	0.6130648295
13	0.6079610189
14	0.6015492121
15	0.5967032115
16	0.5912495295
17	0.5865996043
18	0.5825532277
19	0.5776534398
20	0.5731123606
21	0.568613561
22	0.5643916448
23	0.5600512822
24	0.5549859365
25	0.5504660288
26	0.5459182739
27	0.5416379293
28	0.5366313934
29	0.5327837944
30	0.5278691292
31	0.523658816
32	0.5201542854
33	0.5159824371
34	0.5113413175
35	0.509219869
36	0.5053971291
37	0.5025690715
38	0.4973008474
39	0.4939340591
40	0.4898374557
41	0.486852773
42	0.4839584351
43	0.4815050443
44	0.4776332537
45	0.4747197151
46	0.4723510424
47	0.4700100899
48	0.4682299932
49	0.4639758428
50	0.4613087336
51	0.458778127
52	0.4567262967
53	0.4545770009
54	0.451561292
55	0.4487460772
56	0.446147728
57	0.4439078013
58	0.4408285777
59	0.438558197
60	0.4361984253
61	0.4333890597
62	0.4310468992
63	0.4286677361
64	0.4258962313
65	0.4241495132
66	0.4212188721
67	0.41854496
68	0.4166233063
69	0.4143781026
70	0.4113489787
71	0.4091513634
72	0.406432279
73	0.4045891762
74	0.402706337
75	0.4001173655
76	0.3983616511
77	0.3961892446
78	0.3935317039
79	0.3918560664
80	0.3902903239
81	0.3886124611
82	0.3868545532
83	0.3858087858
84	0.3839773178
85	0.3817347209
86	0.3801239649
87	0.3782073657
88	0.3763840357
89	0.3744686445
90	0.372628053
91	0.3712979317
92	0.3696741104
93	0.3682197889
94	0.3663407644
95	0.3637733459
96	0.3615671158
97	0.3604167302
98	0.3589121819
99	0.3569176674
100	0.3555946668
101	0.3543276787
102	0.352521642
103	0.3513831774
104	0.3491031011
105	0.3474188805
106	0.3461147626
107	0.34480896
108	0.3432861646
109	0.341882515
110	0.3405543963
111	0.3395703316
112	0.3382782936
113	0.3374966304
114	0.3362529119
115	0.3352092107
116	0.3336866379
117	0.3321942012
118	0.3309195836
119	0.3298838298
120	0.3284068108
121	0.3271450996
122	0.3261861165
123	0.3247779846
124	0.3236430486
125	0.3223543485
126	0.3211586634
127	0.3195531209
128	0.3183291117
129	0.317428716
130	0.3156572342
131	0.3149396261
132	0.3138912201
133	0.3131124496
134	0.3115553856
135	0.3106677055
136	0.3091404597
137	0.3085426331
138	0.307447052
139	0.3056644122
140	0.3046189626
141	0.3036807378
142	0.302632459
143	0.3015977542
144	0.3001154582
145	0.2994106929
146	0.298334376
147	0.297234726
148	0.2959672928
149	0.2947333972
150	0.293445905
151	0.2929622968
152	0.2923309008
153	0.2909814517
154	0.289749527
155	0.2890269597
156	0.2880649567
157	0.2870921135
158	0.2861845016
159	0.2847784678
160	0.2837524414
161	0.2830887477
162	0.2820734978
163	0.2808714867
164	0.2797534307
165	0.2789261182
166	0.2781622569
167	0.2774341265
168	0.2765842756
169	0.2758195241
170	0.2753395716
171	0.2744642258
172	0.2736362139
173	0.2728825251
174	0.2718914668
175	0.2705787977
176	0.2695813497
177	0.2687164307
178	0.2680472056
179	0.266910998
180	0.2655886014
181	0.2648570379
182	0.263990434
183	0.2628775279
184	0.2618671099
185	0.2611385187
186	0.2605432828
187	0.259925429
188	0.2587476571
189	0.2580085119
190	0.2575094541
191	0.2568872452
192	0.2562367121
193	0.2558418115
194	0.255116113
195	0.2540361087
196	0.253662014
197	0.2527808189
198	0.2518860181
199	0.2511389573
200	0.2505221049
201	0.2499877135
202	0.2492666403
203	0.2488606453
204	0.2481954575
205	0.2475219091
206	0.2464874268
207	0.2460186005
208	0.2453728835
209	0.24503088
210	0.2439264297
211	0.2431832631
212	0.2421787421
213	0.2413078149
214	0.2407784462
215	0.2394761562
216	0.2388662338
217	0.2383109093
218	0.2374298731
219	0.2366851966
220	0.2364276727
221	0.2354606946
222	0.2351871649
223	0.2347094854
224	0.2342767398
225	0.2336996555
226	0.2333568891
227	0.2330039978
228	0.2322012742
229	0.2318020503
230	0.2311834176
231	0.2306695302
232	0.2301497459
233	0.229550902
234	0.2290759087
235	0.2288223902
236	0.228445514
237	0.228266271
238	0.2279548327
239	0.2273541133
240	0.2269404252
241	0.2263055166
242	0.2260743459
243	0.2253660043
244	0.2252280871
245	0.2247420152
246	0.224258105
247	0.2235358715
248	0.2227855206
249	0.2224987507
250	0.2223181725
251	0.2217961629
252	0.220993042
253	0.2205255826
254	0.2200116952
255	0.2194131533
256	0.2188817342
257	0.218300422
258	0.218051068
259	0.2173954169
260	0.2168109258
261	0.2162633419
262	0.2157312711
263	0.2154048443
264	0.2149635633
265	0.2143559774
266	0.213954703
267	0.213482825
268	0.213144954
269	0.2123269717
270	0.2113746484
271	0.2109663328
272	0.2108698209
273	0.2105439345
274	0.2098991394
275	0.2094849745
276	0.209081618
277	0.2086717288
278	0.2080673536
279	0.207611386
280	0.2070344607
281	0.2065644582
282	0.2061372439
283	0.2058865547
284	0.2055996259
285	0.2050502459
286	0.2044787884
287	0.2040070534
288	0.2037944794
289	0.2035076459
290	0.2032342275
